TimeGenerated,cpu_percent,memory_percent,iops,disk_iops_consumed_percentage,total_xact_commit,storage_percent,total_temp_files,active_connections,TupIns,TupUpd,TupDel
2023-10-31 13:40:00,14,31,24,,112679,1,0,8,129599,36,0
2023-10-31 13:45:00,35,31,11,11.0,627165,1,0,14,0,8,0
2023-10-31 13:50:00,35,31,2,0.0,1257924,1,0,13,13,8,0
2023-10-31 13:55:00,35,31,3,1.0,1262977,1,0,13,0,11,0
2023-10-31 14:00:00,34,31,12,2.0,1258937,1,0,15,2823,12,69
2023-10-31 14:05:00,35,31,3,0.0,1260306,1,0,13,0,10,0
2023-10-31 14:10:00,35,31,2,0.0,1007736,1,0,14,0,11,0
